InvestmentName	VaR_95(%)	StdDev	Risk_of_Loss (%)	Beta	Sharpe	stddev	stddev_1M	VaR95_daily	current_ratio	quick_ratio	debt_ratio	gearing	leverage	net_leverage	stddev	stddev_1M	VaR95_daily	current_ratio	quick_ratio	debt_ratio	gearing	leverage	net_leverage
TGTG.DE	-4,4300000	0,0279669	31,8400000	0,0002756	0,0123834	0,0280242	0,0266039	0,0412015	3,2866040		0,0000000	0,0000000	0,0000000	-1,0803803	0,0280242	0,0266039	0,0412015	3,2866040		0,0000000	0,0000000	0,0000000	-1,0803803
UUUG.DE	-3,3200000	0,0195286	35,2900000	0,0000846	0,0448915	0,0322145	0,0176495	0,0504986	1,9581270	2,5285726	0,3668246	0,7078832	6,9799356		0,0322145	0,0176495	0,0504986	1,9581270	2,5285726	0,3668246	0,7078832	6,9799356	
VSCk.DE	-21,0200000	0,1278057	49,4100000	0,0019288	0,0246071	0,0407385	0,0339632	0,0578796	4,0076882	4,0112641	0,0000000	0,0000000	-0,0000000	1,7978069	0,0407385	0,0339632	0,0578796	4,0076882	4,0112641	0,0000000	0,0000000	-0,0000000	1,7978069
HRPKk.F	-8,3000000	0,0502131	27,1000000	0,0001229	0,0300308	0,0234666	0,0276271	0,0716086	1,5223258	1,5332460	0,6855779	2,9185869	8,3789124	6,4578525	0,0234666	0,0276271	0,0716086	1,5223258	1,5332460	0,6855779	2,9185869	8,3789124	6,4578525
LUMG.F	-0,9300000	0,0058589	6,1100000	0,0000310	0,0280927	0,1922192	0,1440306	0,1996498	1,2325058		0,0000495	0,0003192	0,0003258		0,1922192	0,1440306	0,1996498	1,2325058		0,0000495	0,0003192	0,0003258	
AAQG.DE	-6,9000000	0,0430118	46,1200000	0,0001087	0,0255713	0,0338191	0,0179064	0,0571794	3,1819639	4,0415739	0,1008263	0,1374451	-0,9093894	-0,3775443	0,0338191	0,0179064	0,0571794	3,1819639	4,0415739	0,1008263	0,1374451	-0,9093894	-0,3775443
ARLG.DE	-99,6400000	0,6038727	48,8500000	0,0292595	0,0252986	0,0230354	0,0109816	0,0539360			0,3788789	7,0242684			0,0230354	0,0109816	0,0539360			0,3788789	7,0242684		
E7SG.DE	-26,6200000	0,1530399	38,8700000	0,0010679	0,0536164	0,0302221	0,0276504	0,0571539	2,2038473	4,0295036	0,6140231	2,2335383	2,0798728		0,0302221	0,0276504	0,0571539	2,2038473	4,0295036	0,6140231	2,2335383	2,0798728	
ADNGk.DE	-142,8400000	0,8211664	47,1000000	0,0138426	0,0349871	0,0233042	0,0142987	0,0684375	1,4162045		0,1809648	0,5260790	1,5246442		0,0233042	0,0142987	0,0684375	1,4162045		0,1809648	0,5260790	1,5246442	
ADSGn.DE	-333,6100000	1,9124369	43,8900000	0,0767074	0,0533500	0,0151900	0,0117741	0,0302894	1,3976510	1,9780015	0,1445702	0,3404518	1,3321823	0,4092788	0,0151900	0,0117741	0,0302894	1,3976510	1,9780015	0,1445702	0,3404518	1,3321823	0,4092788
ADDG.DE	-28,0300000	0,1833223	58,0200000	0,0047300	0,0257516	0,0222876	0,0137157	0,0379531	1,9434950	3,0423078	0,2911336	0,6757744	1,8695320	-0,0079151	0,0222876	0,0137157	0,0379531	1,9434950	3,0423078	0,2911336	0,6757744	1,8695320	-0,0079151
ADLG.DE	-40,2300000	0,2479824	53,4400000	0,0085581	0,0275201	0,0201436	0,0152087	0,0566880	0,9793199	1,5053125	0,6963416	2,9778191	29,2303641	28,9963112	0,0201436	0,0152087	0,0566880	0,9793199	1,5053125	0,6963416	2,9778191	29,2303641	28,9963112
ADAG.DE	-42,4700000	0,2670649	55,3400000	0,0115537	0,0258501	0,0309168	0,0172174	0,0593817	2,2048485	2,8559901	0,1152847	0,2090487	0,7045767	-0,3470487	0,0309168	0,0172174	0,0593817	2,2048485	2,8559901	0,1152847	0,2090487	0,7045767	-0,3470487
