InvetmentName	VaR_95(%)	StdDev	Risk_of_Loss (%)	Beta	Sharpe
TGTG.DE	-4,4300000	0,0279669	31,8400000	0,0002756	0,0123834
UUUG.DE	-3,3200000	0,0195286	35,2900000	0,0000846	0,0448915
VSCk.DE	-21,0200000	0,1278057	49,4100000	0,0019288	0,0246071
HRPKk.F	-8,3000000	0,0502131	27,1000000	0,0001229	0,0300308
LUMG.F	-0,9300000	0,0058589	6,1100000	0,0000310	0,0280927
AAQG.DE	-6,9000000	0,0430118	46,1200000	0,0001087	0,0255713
ARLG.DE	-99,6400000	0,6038727	48,8500000	0,0292595	0,0252986
E7SG.DE	-26,6200000	0,1530399	38,8700000	0,0010679	0,0536164
ADNGk.DE	-142,8400000	0,8211664	47,1000000	0,0138426	0,0349871
ADSGn.DE	-333,6100000	1,9124369	43,8900000	0,0767074	0,0533500
ADDG.DE	-28,0300000	0,1833223	58,0200000	0,0047300	0,0257516
ADLG.DE	-40,2300000	0,2479824	53,4400000	0,0085581	0,0275201
ADAG.DE	-42,4700000	0,2670649	55,3400000	0,0115537	0,0258501
AGXG.F	-1,5700000	0,0095434	8,4000000	-0,0000155	0,0283567
AAHG_p.F	-19,9500000	0,1235828	20,2300000	0,0006699	0,0337549
AAHG.F	-28,1100000	0,1728094	13,4100000	0,0004034	0,0344823
AIXGn.DE	-36,2900000	0,2283292	54,2000000	0,0035673	0,0271169
ABAG.F	-108,8900000	0,6536084	12,1600000	0,0015901	0,0498828
MTVG.DE	-16,5200000	0,0948195	35,4000000	0,0003769	-0,0184302
A1OS.DE	-261,0900000	1,6361218	44,7900000	0,0409557	0,0229649
AEIG.DE	-42,6600000	0,2595844	50,0000000	0,0084865	0,0277205
SWOG.F	-5,2300000	0,0320081	3,8200000	-0,0002083	0,0284643
ALVG.DE	-396,3600000	2,4378695	51,9100000	0,1346894	0,0159795
ANOG.DE	-2,8100000	0,0173706	44,0200000	0,0002265	0,0410926
ATFG.DE	-1,2800000	0,0079683	25,1900000	0,0000472	0,1173147
AOXG.DE	-23,8300000	0,1472187	53,8200000	0,0055725	0,0268835
AMDG.DE	-203,3800000	1,2390467	50,3800000	0,0526715	0,0144939
