	stddev	stddev_1M	VaR95_daily	current_ratio	quick_ratio	debt_ratio	gearing	leverage	net_leverage
TTKG.DE	0,0199868	0,0127703	0,0345851	1,2988738	1,8887626	0,2564787	0,5223638	1,5809912	1,6843793
SPME.DE	0,0296655	0,0338970	0,0637445	0,9279737	0,9853158	0,2435009	0,6032437	0,6891035	0,7108219
DTDGk.DE	0,0276239	0,0238554	0,0573484	0,5220038		0,3225850	0,6826841	5,7624000	
H9YG.F	0,0362317	0,0110049	0,0587254	0,7970873	1,3666522	0,2667063	1,3589639	33,1597253	
SZZG.DE	0,0189256	0,0125038	0,0377719	1,8986977		0,0000000	0,0000000	0,0000000	-0,4607895
O4BG.DE	0,0162545	0,0021645	0,0330703	1,9105711		0,0000000	0,0000000	0,0000000	
MUSG.F	0,4122327	0,3843532	0,3226168	1,6396248	2,0524816	0,1681425	0,3832874	-18,1116487	
YOCG.DE	0,0391687	0,0603993	0,0679685	0,5481762		0,9643887	-1,4833241	-3,0341061	0,2448349
AAHG_p.F	0,0178408	0,0168007	0,0313598	2,7922417	4,5235762	0,1649098	0,2895850	3,0781234	
GGS.DE	0,0581922	0,0422529	0,0737922	1,1042195	1,3203893	0,0019268	0,0238575	0,0296307	
WCHG.DE	0,0216040	0,0156893	0,0468988	1,7014513	2,3797512	0,2003469	0,5667004	1,4892050	1,9841029
MNVG.F	0,0209924	0,0249816	0,0339385	0,6611768	0,7404079	0,2410120	0,6514039	4,2632508	
SHA_p.DE	0,0229556	0,0137210	0,0371717	1,8215318	2,4761561	0,4975160	4,1952703	2,9384761	2,8170865
WDIG.DE	0,0274520	0,0112910	0,0474361	1,4127270	1,4157987	0,1306056	0,2994058	1,6924602	-1,5675784
VOWG.DE	0,0239343	0,0126417	0,0683808	0,9791096	1,2151405	0,3818398	1,6561208	3,1457722	-0,4685332
AROG.DE	0,1025357	0,1026653	0,1226608	0,6189812	0,7839648	0,2188047	4,4906605	6,8338959	3,7105050
SPBG.F	0,0199284	0,0057311	0,0327794	0,9956062		0,0713323	0,0794389	-1,6067416	
SOWG.DE	0,0179820	0,0108008	0,0405896	1,3290721		0,1736485	0,2893123	1,2466996	-0,0688892
SGUG.F	0,1097137	0,0406139	0,1842583			0,0000000			
ISRG.DE	0,0217380	0,0244297	0,0390248	1,8253311	2,2251566	0,2383288	0,4265384	1,8414278	1,0204697
HEIG.DE	0,0188209	0,0141529	0,0420458	0,9670639	1,2637765	0,2338305	0,4448259	2,8426735	2,3436287
QSCG.DE	0,0263861	0,0280223	0,0497245	2,1126901	2,1266480	0,4640095	1,3394984	4,0067197	2,2247454
ILM1k.DE				4,5978330		0,0000000	0,0000000	-0,0000000	
DVBG.F	0,0094121	0,0099969	0,0170108			0,5217715	9,7142657		
PBBG.DE	0,0238267	0,0108695	0,0348775			0,6556672	15,9406409		
G24n.DE	0,0228626	0,0150698	0,0351644	1,3542762		0,3552662	0,8386106	5,1652205	4,6980152
EMH1k.F	0,0240600	0,0253630	0,1047583	2,1249564		0,0000000	0,0000000	0,0000000	
NXUG.DE	0,0187073	0,0112096	0,0437957	1,9240393	1,9540832	0,0161538	0,0234555	0,1125618	-0,3653557
CNWKk.DE	0,0351389	0,0185162	0,0810012	5,9711182	6,0999267	0,0000000	0,0000000	-0,0000000	2,3567372
ADAG.DE	0,0309168	0,0172174	0,0593817	2,2048485	2,8559901	0,1152847	0,2090487	0,7045767	-0,3470487
MVVGn.DE	0,0097764	0,0040626	0,0251516	1,0116441	1,0815529	0,3492757	1,4412538	5,1194036	4,1343454
AMDG.DE	0,0194240	0,0121253	0,0393154	2,8251052		0,0000000	0,0000000	0,0000000	0,3936607
SK1Gn.DE	0,0354232	0,0176058	0,0529187	0,7541346	1,0557672	0,4973810	-158,6582278	21,6539015	21,3072272
MORG.DE	0,0306634	0,0156778	0,0412879	10,9250649	10,9384895	0,0005624	0,0006203	0,0091986	-8,9747358
HLAG.DE	0,0261020	0,0177861	0,0410960	0,6523280	0,6915510	0,3526731	0,7755041	5,0423280	4,3278558
DRIG.DE	0,0219796	0,0141887	0,0451533	1,4113994	1,5724073	0,2428757	0,4738190	1,4500746	-0,0960232
PA8G.DE	0,0698846	0,0297739	0,0879986	5,0693878		0,0000000	0,0000000	-0,0000000	0,2457389
RTMLk.F	0,0540179	0,0398989	0,1030170	1,6464646		0,0963796	0,1606852	-0,4646226	
DB11.DE	0,0174772	0,0108494	0,0287475	0,9993582		0,0791500	4,0080425	10,3710980	
HBD1.F	0,0544339	0,0071792	0,2011677	181,7241379		0,0000000	0,0000000		
DRWG_p.DE	0,0226284	0,0176810	0,0420695	1,7092551	2,1997186	0,1387338	0,3395784	2,0327026	1,7930514
DEZG.DE	0,0299265	0,0198679	0,0478030	1,5980109	2,4061598	0,0675489	0,1498777	0,5970755	0,6358059
OSRn.DE	0,0195316	0,0233434	0,0386835	1,6036961	1,9399384	0,0131223	0,0254751	0,0663857	-0,4350165
ICPG.F	0,0915833	0,0487983	0,1799678	3,7684874		0,0000000	0,0000000		
TVDGk.F	0,0767861	0,0894823	0,1029081	2,9847618		0,7082779	6,0172325	7,3704589	3,7269827
GXIG.DE	0,0170069	0,0117900	0,0327939	0,8031432	1,0816761	0,4087859	1,5792211	3,7608522	3,4360869
CSHG.DE	0,0218172	0,0109895	0,0449454	2,5395047	2,5427055	0,0000000	0,0000000	0,0000000	-0,8483667
MLPG.DE	0,0201893	0,0071160	0,0366219			0,6422387	2,9180953	24,1129319	
A1OS.DE	0,0279015	0,0142387	0,0468834						
DPWGn.DE	0,0168149	0,0110430	0,0310964	1,0218192	1,0421212	0,1367309	0,4692768	1,3428423	0,8927432
VNAn.DE	0,0153010	0,0137159	0,0245439	2,5370436	2,5392959	0,4832828	1,2873749	6,2670688	4,2252485
DTEGn.DE	0,0152177	0,0115868	0,0273364	0,9593418	1,0143973	0,4268205	2,0893878	3,1965447	2,4626668
O2Dn.DE	0,0183418	0,0199476	0,0260484	0,6325267	0,6671356	0,1353429	0,2183897	1,2105263	0,6847446
KU2G.DE	0,0254644	0,0197532	0,0417568	1,3427537	1,5993452	0,1245329	0,4046385	1,2514768	-0,0604515
CONG.DE	0,0189522	0,0108557	0,0454413	1,0882834	1,3659593	0,1622259	0,4166021	0,8559996	0,6401009
GMEG.DE	0,0183170	0,0104533	0,0391127	4,6081548	5,8451717	0,0885473	0,1189944	0,7700411	
WING.DE	0,0193955	0,0050841	0,0366530	1,0765396	1,4171385	0,0813131	0,3318008	0,6592820	0,3097690
DBKGn.DE	0,0341444	0,0332614	0,0453050			0,1548176	3,7446625		
NAFG.DE	0,0234714	0,0138923	0,0397183	2,3417575	3,8176238	0,1713706	0,3525906	2,0486293	0,3037210
UMS.F	0,0477271	0,0186430	0,0492427	2095,8903567		0,0000000	0,0000000	-0,0000000	
KCOGn.DE	0,0219350	0,0195093	0,0523610	2,0585329	3,1021643	0,1918877	0,4934827	12,4764869	12,4956434
BEZ.DE	0,0215269	0,0112049	0,0383329	1,6358874	2,0763070	0,2755716	1,1385121	3,7007348	-0,4267795
ATFG.DE	0,2959785	0,0000000	0,1522259	1,1784688	1,5821793	0,1305020	0,2742528	3,9088191	
LXSG.DE	0,0208769	0,0210736	0,0406229	1,5505102	2,2387755	0,2356282	0,7363636	1,6387283	1,4540364
K1RG.DE	0,0168134	0,0076498	0,0431718	2,1010625	3,1956465	0,2085720	0,4110008	4,6490639	2,6404225
KRNG.DE	0,0175710	0,0190300	0,0355865	1,5252303	2,0751687	0,0254619	0,0620232	0,4566695	-1,6374992
