@relation Target

@attribute InvetmentName {TGTG.DE,UUUG.DE,VSCk.DE,HRPKk.F,LUMG.F,AAQG.DE,ARLG.DE,E7SG.DE,ADNGk.DE,ADSGn.DE,ADDG.DE,ADLG.DE,ADAG.DE,AGXG.F,AAHG_p.F,AAHG.F,AIXGn.DE,ABAG.F,MTVG.DE,A1OS.DE,AEIG.DE,SWOG.F,ALVG.DE,ANOG.DE,ATFG.DE,AOXG.DE,AMDG.DE,TXAG.F,AROG.DE,AYDGn.DE,5ABG.F,AOFG.DE,NSUG.DE,NAFG.DE,AVES.DE,SPRGn.DE,BTTG.F,BASFn.DE,BSLG.DE,BST1.DE,B5AG.DE,BAYGn.DE,BYWGnx.DE,BYWG.DE,BKTG_p.F,USEG.DE,BC8G.DE,BEIG.DE,BEZ.DE,MBHG_p.F,BDTG.DE,ARTG.DE,BHSG.F,BIJG.DE,GBFG.DE,B8FGn.DE,BIOG.DE,BIOG_p.DE,BTBA.DE,BMWG_p.DE,BMWG.DE,BSYG.F,BNNn.DE,BNRGn.DE,DTDGk.DE,BVB.DE,COKG.DE,HWAG.DE,CSHG.DE,CEVG.DE,CWCG.DE,CSGG.F,CU1G.DE,CAGGk.DE,CNWKk.DE,CDBG.DE,CBKG.DE,COPMa.DE,EV4G.DE,CONG.DE,1COV.DE,ACWNn.DE,AFXG.DE,CE2G.DE,CURG.DE,DAIGn.DE,DAMG.DE,FAM1.F,ERMGk.DE,333.DE,DEXGn.DE,DMRE.DE,DBKGn.DE,DBANn.DE,DB11.DE,DEQGn.DE,PBBG.DE,DPWGn.DE,DTEGn.DE,DWNG.DE,DREGa.F,DEZG.DE,DFTKn.DE,DICn.DE,WING.DE,DIEG.F,GILG.DE,HNLG.DE,DRWG_p.DE,DRWG.DE,DRIG.DE,DKAG.F,DUEG.DE,DVBG.F,EONGn.DE,ESYG.DE,EUZG.DE,E4CG.DE,EING_p.DE,EISG.F,ELNk.F,ELGG.DE,ZILGn.DE,ELBG.DE,EMQG.DE,EBKG.DE,EKTG.F,EXJ.F,ECXn.F,EUCAn.DE,EVDG.DE,EVKn.DE,EVTG.DE,BTCGk.F,FVIG.DE,HBD1.F,FIEG.DE,SISG.DE,FRSG.DE,FEVG.DE,FPHG.DE,FRAG.DE,FNTGn.DE,FREG.DE,FMEG.DE,FNGG.F,CEAG.DE,FROG_p.F,FROG.F,FPEG_p.DE,FPEG.DE,G1AG.DE,WWGG.F,GMEG.DE,GXIG.DE,GWIG.DE,GSC1n.DE,GFKG.DE,GFTG.DE,GGS.DE,GKSG.DE,GMMG.DE,GLJn.DE,GIBG.F,G7BG.F,2HR.DE,HABG.DE,HNRGn.DE,H9YG.F,HLAG.DE,HAWG.DE,IPOG.F,HEIG.DE,HDDG.DE,H2Fn.DE,HLE.DE,HNKG.DE,HNKG_p.DE,RTMLk.F,HHFGn.DE,HOTG.DE,HOC.DE,HBMG.DE,HBH.DE,BOSSn.DE,HYQGn.DE,IFAG.F,FAOGn.DE,INHG.DE,IFS1.F,IFXGn.DE,IXXG.DE,IGY.DE,ISHG.DE,ITMG.DE,IS7G.DE,IVXG.DE,ISRG.DE,I7NG.DE,IVUG.DE,JENG.DE}
@attribute 'VaR_95(\%)' numeric
@attribute StdDev numeric
@attribute 'Risk_of_Loss (\%)' numeric
@attribute Beta numeric
@attribute Sharpe numeric

@data
TGTG.DE,-4.43,0.027967,31.84,0.000276,0.012383
UUUG.DE,-3.32,0.019529,35.29,0.000085,0.044892
VSCk.DE,-21.02,0.127806,49.41,0.001929,0.024607
HRPKk.F,-8.3,0.050213,27.1,0.000123,0.030031
LUMG.F,-0.93,0.005859,6.11,0.000031,0.028093
AAQG.DE,-6.9,0.043012,46.12,0.000109,0.025571
ARLG.DE,-99.64,0.603873,48.85,0.02926,0.025299
E7SG.DE,-26.62,0.15304,38.87,0.001068,0.053616
ADNGk.DE,-142.84,0.821166,47.1,0.013843,0.034987
ADSGn.DE,-333.61,1.912437,43.89,0.076707,0.05335
ADDG.DE,-28.03,0.183322,58.02,0.00473,0.025752
ADLG.DE,-40.23,0.247982,53.44,0.008558,0.02752
ADAG.DE,-42.47,0.267065,55.34,0.011554,0.02585
AGXG.F,-1.57,0.009543,8.4,-0.000016,0.028357
AAHG_p.F,-19.95,0.123583,20.23,0.00067,0.033755
AAHG.F,-28.11,0.172809,13.41,0.000403,0.034482
AIXGn.DE,-36.29,0.228329,54.2,0.003567,0.027117
ABAG.F,-108.89,0.653608,12.16,0.00159,0.049883
MTVG.DE,-16.52,0.09482,35.4,0.000377,-0.01843
A1OS.DE,-261.09,1.636122,44.79,0.040956,0.022965
AEIG.DE,-42.66,0.259584,50,0.008486,0.02772
SWOG.F,-5.23,0.032008,3.82,-0.000208,0.028464
ALVG.DE,-396.36,2.43787,51.91,0.134689,0.01598
ANOG.DE,-2.81,0.017371,44.02,0.000227,0.041093
ATFG.DE,-1.28,0.007968,25.19,0.000047,0.117315
AOXG.DE,-23.83,0.147219,53.82,0.005573,0.026884
AMDG.DE,-203.38,1.239047,50.38,0.052672,0.014494
TXAG.F,-0.36,0.002263,2.67,0.000007,0.028046
AROG.DE,-0.33,0.002062,19.18,0.000008,0.030633
AYDGn.DE,-16.33,0.097161,26.97,-0.000469,0.006496
5ABG.F,-3.32,0.021147,13.14,0.000299,0.076344
AOFG.DE,-253.51,1.559476,50.58,0.050796,0.021858
NSUG.DE,-1223.71,7.530448,49.43,0.24934,-0.094227
NAFG.DE,-189.94,1.173289,50.38,0.040714,0.02735
AVES.DE,-109.62,0.720145,50,-0.100141,0.249574
SPRGn.DE,-102.67,0.653864,54.2,0.031206,0.02357
BTTG.F,-0.3,0.001849,0.76,-0.000016,0.028008
BASFn.DE,-173.17,1.044785,48.85,0.066304,0.031977
BSLG.DE,-176.43,1.020627,48.46,0.014027,0.032994
BST1.DE,-20.77,0.131525,51.56,0.001989,0.023275
B5AG.DE,-47.2,0.307632,67.18,0.008125,0.016178
BAYGn.DE,-263.82,1.695169,49.62,0.091858,0.018163
BYWGnx.DE,-75.19,0.456075,51.91,0.012724,0.024459
BYWG.DE,-106.05,0.650488,41.67,0.003244,0.064224
BKTG_p.F,-3.47,0.021376,1.91,-0.00018,0.028199
USEG.DE,-2.12,0.012959,40.71,0.000134,0.026936
BC8G.DE,-210.15,1.279896,56.49,0.056758,0.015991
BEIG.DE,-177.82,1.109209,51.53,0.051182,0.023848
BEZ.DE,-24.05,0.145661,49.21,0.001614,0.034912
MBHG_p.F,-583.58,3.383026,28.24,0.081767,0.184788
BDTG.DE,-289.49,1.778764,59.16,0.074122,0.003182
ARTG.DE,-245.2,1.407323,50.38,0.042191,0.030752
BHSG.F,-59.24,0.354624,6.49,0.001762,0.040234
BIJG.DE,-118.86,0.735348,47.71,0.015229,0.026371
GBFG.DE,-127.46,0.792806,47.33,0.029973,0.02657
B8FGn.DE,-14.45,0.084671,50,0.001459,0.02753
BIOG.DE,-62.07,0.37461,44.06,0.009601,0.030974
BIOG_p.DE,-53.96,0.329705,55.34,0.01063,0.023222
BTBA.DE,-4.78,0.029097,35.74,0.000298,0.032973
BMWG_p.DE,-203.45,1.252941,58.4,0.067997,0.009532
BMWG.DE,-249.04,1.55357,51.15,0.092694,0.016785
BSYG.F,-0.53,0.002992,6.25,-0.000001,0.024586
BNNn.DE,-72.5,0.421073,44.33,0.005004,-0.099797
BNRGn.DE,-128.96,0.78892,50,0.03568,0.027222
DTDGk.DE,-15.87,0.092429,22.35,0.000718,0.073669
BVB.DE,-12.14,0.072011,45.04,0.001812,0.028081
COKG.DE,-139.81,0.84335,54.96,0.032179,0.02634
HWAG.DE,-23.79,0.150989,52.67,0.004403,0.02542
CSHG.DE,-66.03,0.404576,58.4,0.016263,0.022765
CEVG.DE,-31.48,0.187633,46.18,0.004328,0.029255
CWCG.DE,-219.96,1.276383,47.71,0.043531,0.037956
CSGG.F,-6.88,0.042571,9.16,0.00001,0.029038
CU1G.DE,-28.38,0.168335,44.66,0.002202,0.028902
CAGGk.DE,-66.75,0.419213,56.54,0.004772,0.032445
CNWKk.DE,-16.07,0.096342,52.94,0.000397,0.024893
CDBG.DE,-23.66,0.146537,51.91,0.003678,0.027225
CBKG.DE,-30.77,0.196,55.73,0.008631,0.025899
COPMa.DE,-118.85,0.707622,50.76,0.028236,0.028121
EV4G.DE,-7.68,0.04659,40.84,0.000816,0.028171
